"x"	"y"	"l1_1"	"l1_2"	"l2_1"	"l2_2"	"l3_1"	"l3_2"	"l4_1"	"l4_2"	"l5_1"	"l5_2"	"l6_1"	"l6_2"	"l7_1"	"l7_2"	"l8_1"	"l8_2"	"l9_1"	"l9_2"	"l10_1"	"l10_2"	"age"	"parent1"	"parent2"
61	220	8	2	6	6	3	8	2	9	4	7	7	3	4	1	7	4	9	6	5	7	83	0	0
246	333	5	7	3	5	2	6	6	3	4	1	4	3	6	7	7	1	6	7	6	1	62	0	0
480	287	7	2	2	6	4	3	6	9	8	4	3	3	6	4	1	7	6	6	8	5	59	0	0
301	168	4	5	2	6	3	5	8	6	3	4	4	7	7	4	7	7	5	7	4	2	45	0	0
62	165	4	4	6	6	3	6	6	9	2	7	6	6	4	6	7	6	7	7	5	7	43	0	0
312	308	7	7	8	6	1	3	7	7	7	4	3	4	7	7	5	8	4	7	5	6	42	0	0
483	318	2	6	2	6	4	6	6	7	4	7	3	3	4	4	1	1	6	4	5	5	40	0	0
55	95	2	8	5	6	6	8	8	2	8	4	3	7	1	4	4	4	5	7	2	6	35	0	0
206	327	5	6	3	3	7	6	6	4	3	7	5	4	6	6	7	1	2	6	2	5	34	0	0
205	324	7	8	6	6	2	6	3	6	7	2	4	3	5	8	7	7	6	7	2	2	33	0	0
452	399	2	7	8	3	3	7	6	4	7	7	3	3	7	4	6	7	6	6	7	5	33	0	0
489	334	6	7	2	6	6	3	6	9	4	3	3	3	4	4	1	7	4	6	5	5	32	0	0
52	143	4	8	6	6	3	3	9	2	2	4	6	7	6	6	7	7	7	7	7	5	31	0	0
60	224	2	2	6	6	8	5	3	7	4	4	3	2	1	1	4	1	4	6	5	2	30	0	0
122	42	7	7	2	2	4	4	3	7	7	1	2	6	4	2	8	8	9	2	4	2	30	0	0
230	346	8	7	6	6	8	1	6	6	4	2	3	1	4	5	4	4	6	6	5	2	29	0	0
350	297	2	2	8	5	6	1	7	2	1	7	3	3	8	1	5	5	4	4	5	1	27	0	0
319	317	7	6	5	3	6	3	2	8	7	1	3	6	7	4	5	2	6	3	5	6	27	0	0
293	290	2	8	6	6	6	5	2	6	7	8	6	3	7	6	5	7	4	7	1	6	27	0	0
76	102	2	7	5	2	8	6	8	6	4	7	3	6	1	2	4	6	5	5	2	4	26	0	0
31	93	2	5	6	2	8	6	8	8	8	4	7	6	1	1	4	4	5	5	6	1	26	0	0
325	187	7	4	2	6	6	6	6	6	7	7	6	6	2	6	2	7	5	7	4	7	24	0	0
108	35	7	4	2	2	4	7	3	3	7	8	1	6	6	2	8	2	5	9	4	6	24	0	0
108	191	8	2	6	3	5	3	6	6	4	7	6	3	4	4	7	7	7	6	5	5	22	0	0
80	186	8	2	6	6	5	7	2	7	4	4	6	4	6	2	7	5	9	3	5	2	22	0	0
95	184	4	5	6	2	5	7	6	3	4	3	6	5	4	6	8	6	7	6	5	6	21	0	0
358	158	7	7	2	6	6	3	6	2	7	3	6	3	6	1	6	6	5	6	1	5	20	0	0
115	92	7	4	2	6	7	8	8	2	7	4	6	3	6	6	8	7	2	9	2	2	20	0	0
81	63	2	7	6	5	6	6	8	3	8	4	3	3	1	6	5	1	5	7	2	6	20	0	0
231	312	8	4	5	3	5	2	6	6	4	1	7	4	4	7	7	6	7	6	5	2	20	0	0
323	130	4	7	2	6	7	1	3	2	7	8	6	3	2	8	2	7	6	7	7	2	20	0	0
300	119	4	8	2	6	6	3	9	9	7	4	6	7	1	6	2	7	9	7	6	5	20	0	0
121	33	7	4	2	2	4	5	3	6	7	3	2	4	4	7	8	7	2	5	4	4	20	0	0
319	312	4	8	2	6	8	3	9	2	7	2	3	7	2	6	1	7	4	7	1	5	19	0	0
298	160	4	5	6	3	3	6	8	3	4	1	4	4	4	7	7	1	5	7	4	1	18	0	0
304	357	6	7	6	6	8	5	4	6	7	4	3	6	2	4	4	1	4	7	1	6	18	0	0
209	275	7	7	6	6	2	3	6	6	3	3	7	7	4	6	7	5	6	7	5	2	18	0	0
329	311	7	7	6	3	1	6	7	6	7	4	3	3	7	7	5	1	7	6	5	1	17	0	0
200	333	7	7	2	8	2	3	6	7	3	4	4	4	6	7	7	5	2	4	6	6	16	0	0
198	320	5	7	2	8	2	7	6	2	3	1	4	4	6	7	7	5	2	7	2	6	16	0	0
478	387	2	6	8	3	7	3	6	4	7	1	3	4	4	2	6	2	6	7	7	6	16	0	0
135	60	7	7	2	2	4	4	7	7	7	7	2	6	4	4	8	8	2	2	4	4	16	0	0
141	205	7	7	6	6	7	3	6	7	4	1	7	4	4	1	7	5	6	6	5	5	16	0	0
53	62	2	4	6	6	6	3	8	9	4	7	3	6	4	4	4	7	5	7	2	7	15	0	0
35	142	4	2	6	5	3	6	9	8	2	8	6	7	6	1	7	4	7	7	7	2	15	0	0
295	309	2	7	6	6	6	4	2	7	8	4	3	7	7	6	7	8	7	2	6	5	15	0	0
176	333	2	5	6	6	5	3	6	6	3	4	3	7	6	4	8	7	6	7	7	4	15	0	0
177	323	7	4	6	8	2	8	6	2	3	4	3	6	6	6	5	7	6	6	5	5	14	0	0
292	274	4	2	6	6	3	6	6	3	3	4	7	3	5	4	6	4	6	6	5	7	14	0	0
454	338	2	7	5	2	1	4	3	7	3	7	4	6	1	2	5	8	6	2	1	4	14	0	0
270	166	4	4	2	6	5	3	8	6	3	7	7	6	4	6	7	6	7	7	2	5	13	0	0
342	262	8	7	6	6	5	3	2	9	2	3	7	4	7	7	7	7	7	7	5	6	13	0	0
250	338	8	2	6	2	8	6	6	6	2	7	1	3	4	2	4	6	6	5	2	4	13	0	0
275	283	7	7	6	2	1	3	8	2	1	4	3	7	1	4	7	7	6	6	6	5	13	0	0
55	193	8	6	6	6	8	6	2	6	4	4	7	3	1	4	4	1	6	6	7	5	12	0	0
229	338	7	2	5	5	6	1	6	7	4	1	3	3	7	8	1	5	7	4	6	5	12	0	0
305	267	7	2	2	2	7	4	2	6	1	8	6	3	7	4	5	7	7	6	6	8	12	0	0
454	356	8	7	6	2	3	2	9	4	3	1	3	4	1	4	1	6	6	3	5	2	12	0	0
289	161	7	2	6	6	4	4	8	7	8	7	6	3	4	4	7	1	5	3	4	2	12	0	0
431	364	8	8	2	5	3	6	9	3	3	7	7	7	4	1	7	4	6	4	5	5	12	0	0
270	112	8	6	6	2	6	6	9	7	4	4	6	3	6	4	7	1	9	6	6	5	12	0	0
120	66	7	7	2	2	5	3	6	6	7	3	2	6	7	1	7	6	2	6	4	5	12	0	0
266	170	4	2	2	6	5	6	8	8	3	8	4	3	4	1	7	1	5	5	4	2	11	0	0
89	12	7	2	2	6	7	3	3	6	8	4	6	6	6	4	2	7	9	7	6	5	11	0	0
76	181	8	2	6	6	5	5	7	2	4	7	6	6	2	7	5	5	9	7	2	6	11	0	0
179	325	8	7	6	6	2	8	3	6	2	4	3	3	5	5	7	4	6	6	2	5	10	0	0
455	284	2	4	6	3	4	5	9	6	4	1	3	4	4	4	7	7	6	6	5	5	9	0	0
429	349	2	8	6	6	3	6	2	6	7	8	3	3	1	7	6	5	6	4	5	6	9	0	0
330	272	7	7	6	2	1	4	7	7	3	7	4	2	1	4	5	8	4	2	7	2	9	0	0
210	319	6	8	3	6	7	5	6	2	3	4	4	6	6	6	1	7	2	7	5	2	9	0	0
169	325	7	2	6	6	6	8	6	9	2	4	4	7	5	1	7	4	6	9	2	7	9	0	0
487	349	6	4	6	2	6	8	6	2	3	3	3	4	4	6	7	4	4	7	5	6	9	0	0
487	336	7	7	2	6	6	6	6	6	3	3	3	3	4	1	1	6	4	5	5	1	9	0	0
21	213	2	7	6	8	5	3	7	6	4	7	2	3	1	4	1	7	6	6	2	7	9	0	0
291	289	4	7	6	2	3	1	2	9	3	3	6	4	6	1	5	1	6	7	7	5	9	0	0
71	192	4	4	6	6	7	8	6	2	3	3	5	3	6	7	8	6	6	9	5	2	9	0	0
298	130	8	7	6	6	3	6	2	2	7	3	3	6	6	6	2	6	7	7	5	5	9	0	0
98	101	4	7	5	2	2	1	7	9	8	1	3	3	6	1	6	7	6	7	2	5	9	0	0
119	115	7	7	2	6	7	3	7	6	1	4	6	7	2	4	8	7	2	6	2	5	8	0	0
211	347	6	7	3	6	7	3	6	6	7	3	4	3	6	6	7	6	2	6	5	1	8	0	0
349	297	2	7	5	2	1	4	2	7	1	7	3	2	1	4	5	8	4	9	1	2	8	0	0
72	224	7	2	6	6	4	3	6	3	4	7	7	6	6	1	8	5	2	6	4	5	8	0	0
275	164	4	6	6	6	7	8	7	6	3	4	7	6	4	4	7	1	5	4	8	1	8	0	0
217	305	6	7	3	6	7	8	6	4	7	4	4	3	6	2	1	1	6	4	5	6	83	0	0
65	216	2	4	6	6	8	3	3	2	4	4	2	7	1	6	4	7	4	7	2	5	62	0	0
291	267	7	4	6	2	3	8	6	2	3	4	7	6	5	6	6	7	7	9	5	2	59	0	0
151	299	7	2	2	6	3	2	7	2	7	4	4	3	4	7	6	5	3	6	2	8	45	0	0
72	133	7	7	5	2	8	3	6	2	4	3	6	3	2	6	4	6	5	5	2	1	43	0	0
367	297	4	2	2	6	6	8	6	9	7	7	4	3	6	4	5	4	7	9	5	7	42	0	0
133	55	7	7	2	6	4	8	7	8	7	4	2	3	4	6	8	8	2	2	4	2	40	0	0
151	165	7	2	6	5	7	6	7	8	1	4	4	3	4	6	7	1	6	5	5	6	35	0	0
56	76	2	7	6	2	3	4	8	7	7	7	3	2	4	4	4	8	7	2	2	4	34	0	0
464	290	2	8	2	5	4	6	9	2	8	8	3	3	6	4	1	4	6	5	5	6	33	0	0
72	62	4	2	3	6	7	3	4	6	1	4	4	3	4	4	2	4	7	6	6	5	33	0	0
57	201	4	2	6	6	6	5	9	3	2	4	6	2	4	1	7	1	7	6	7	2	32	0	0
484	326	6	4	6	2	6	4	7	6	4	3	3	2	4	7	1	7	6	5	5	4	31	0	0
36	69	7	7	6	2	6	7	3	3	8	7	3	6	1	6	5	2	5	9	6	6	30	0	0
316	119	8	4	2	8	6	8	9	2	4	4	7	3	1	2	2	7	9	9	5	2	30	0	0
321	301	8	2	6	3	3	3	9	6	2	1	3	4	6	4	7	2	7	7	5	6	29	0	0
424	370	2	7	6	8	3	1	6	7	7	1	4	4	1	1	5	5	6	4	5	5	27	0	0
232	387	7	6	6	3	8	7	6	4	4	1	3	4	5	2	4	6	6	7	5	7	27	0	0
296	294	8	2	6	6	6	6	6	2	7	8	3	7	7	6	7	8	7	2	6	6	27	0	0
85	102	7	7	2	6	8	3	6	6	4	3	6	7	2	6	6	5	5	6	4	2	26	0	0
82	186	8	7	6	6	7	1	2	7	4	1	4	4	6	1	7	5	9	6	5	7	26	0	0
234	346	7	4	6	6	1	5	6	6	1	3	5	4	1	4	6	7	7	5	2	2	24	0	0
340	240	8	8	6	6	5	8	9	2	3	4	7	7	7	1	7	7	7	6	6	7	24	0	0
207	331	8	2	6	6	6	3	3	2	7	7	3	3	8	4	7	4	7	9	2	7	22	0	0
229	352	8	2	6	2	1	1	6	3	4	7	1	4	5	1	4	8	6	6	5	1	22	0	0
306	275	2	7	6	6	5	8	2	6	8	2	6	3	6	5	5	4	4	6	6	5	21	0	0
129	190	2	8	3	5	5	3	6	3	7	3	3	7	4	1	7	4	7	6	5	5	20	0	0
155	102	4	6	6	8	7	3	2	6	7	1	3	4	6	4	8	2	2	6	2	6	20	0	0
79	67	7	2	6	6	6	6	3	2	4	4	3	7	1	5	1	7	5	6	6	2	20	0	0
492	386	2	6	8	8	3	6	4	2	1	1	4	7	2	6	6	7	6	6	6	5	20	0	0
150	87	7	2	2	6	4	4	7	2	7	8	6	7	4	7	8	7	2	7	4	6	20	0	0
292	249	7	8	6	6	3	5	2	9	4	3	3	4	4	7	7	7	6	7	5	6	20	0	0
53	95	8	4	5	6	6	6	8	6	8	7	3	6	1	4	4	7	7	7	6	5	20	0	0
444	396	7	4	3	2	3	6	6	8	7	3	3	3	4	1	7	7	6	5	7	2	19	0	0
35	145	8	7	6	8	3	2	9	7	4	3	6	4	6	6	7	7	7	4	5	6	18	0	0
354	327	2	2	8	6	6	6	2	2	7	2	3	7	1	7	5	5	4	6	5	2	18	0	0
60	190	8	8	6	6	7	3	7	4	4	1	4	4	2	4	7	6	9	6	2	5	18	0	0
75	194	4	8	2	6	5	3	6	2	4	2	6	7	4	6	8	1	7	7	5	5	17	0	0
357	158	4	7	6	2	1	4	2	3	7	7	3	6	2	2	7	8	7	9	2	2	16	0	0
169	30	7	7	2	6	4	5	6	2	3	2	4	4	4	7	7	7	2	7	4	5	16	0	0
164	33	4	2	2	6	4	5	6	7	3	4	4	6	4	7	7	5	5	9	4	2	16	0	0
109	36	7	7	2	2	5	4	6	7	3	7	2	6	7	4	7	8	5	2	4	4	16	0	0
319	307	7	4	6	8	4	2	7	2	4	4	7	3	6	6	7	5	7	6	6	5	16	0	0
153	332	5	7	6	2	3	3	6	6	4	3	3	2	6	1	7	6	6	2	4	4	15	0	0
151	334	2	4	6	6	5	3	6	2	3	4	7	6	4	6	8	7	6	7	7	7	15	0	0
88	171	2	2	6	5	5	8	7	2	7	4	6	3	2	1	5	4	7	7	2	2	15	0	0
101	183	2	4	6	2	5	3	2	2	7	2	6	3	7	2	5	7	9	7	2	1	15	0	0
71	200	2	7	6	8	8	3	2	7	4	4	7	3	1	7	7	8	6	7	5	5	14	0	0
316	143	4	6	6	6	5	6	8	2	3	4	7	3	7	4	7	1	7	6	2	5	14	0	0
302	176	4	7	2	6	5	7	8	2	4	3	4	7	7	1	7	8	5	6	2	5	14	0	0
61	175	4	7	6	6	3	6	9	2	7	8	6	7	4	7	7	8	7	7	7	5	13	0	0
54	96	8	8	5	6	8	8	8	2	8	4	7	7	1	1	4	4	7	6	2	7	13	0	0
32	94	5	4	2	2	6	4	8	3	4	7	7	6	1	2	4	8	5	2	6	4	13	0	0
104	210	7	7	2	5	7	6	2	7	3	1	7	3	4	8	8	1	6	4	5	5	13	0	0
79	191	8	7	2	6	8	4	2	7	4	7	7	6	1	4	7	7	6	3	5	2	12	0	0
74	205	7	4	2	6	7	5	2	8	3	8	7	4	4	1	8	7	6	5	7	2	12	0	0
107	199	8	8	6	5	3	3	6	3	4	7	6	7	4	4	7	7	7	4	5	5	12	0	0
124	94	4	2	6	2	8	7	2	2	7	8	6	6	6	7	8	5	9	7	2	8	12	0	0
332	132	5	5	6	2	3	8	3	8	4	8	4	7	7	1	1	4	7	5	4	6	12	0	0
209	270	7	4	6	6	2	6	6	3	3	1	7	4	6	4	7	7	7	7	5	4	12	0	0
329	317	7	6	3	6	6	6	7	2	4	1	3	7	7	6	1	7	6	6	1	5	12	0	0
126	215	7	7	6	2	7	5	6	3	4	3	4	2	1	4	5	7	6	5	5	4	12	0	0
293	273	2	7	6	2	6	3	3	8	4	1	3	3	5	4	6	7	6	6	5	6	11	0	0
478	341	7	8	5	6	4	2	7	3	3	2	6	3	1	5	8	7	2	6	1	2	11	0	0
281	277	7	4	6	6	1	2	2	6	1	3	3	6	1	6	7	7	6	6	5	5	11	0	0
58	192	8	7	6	6	6	2	6	6	4	3	7	7	4	4	4	7	6	7	5	5	10	0	0
219	337	7	7	5	2	6	1	6	6	4	4	3	5	8	1	5	7	7	2	5	2	83	0	0
271	285	7	8	2	6	7	2	6	4	8	3	6	4	4	1	5	6	6	3	8	5	62	0	0
103	72	7	7	2	2	3	8	6	6	7	7	2	6	7	2	7	4	2	5	4	4	59	0	0
90	25	2	7	2	2	7	8	6	8	4	7	6	3	4	6	2	7	7	9	6	2	45	0	0
85	214	2	8	6	6	3	8	9	2	7	2	7	3	4	2	4	1	9	4	7	1	43	0	0
95	220	8	7	6	6	3	2	2	6	4	1	3	5	4	6	4	6	9	2	7	2	42	0	0
239	319	7	8	5	5	6	3	6	9	1	7	4	7	6	4	7	7	7	6	6	5	40	0	0
216	333	7	2	3	3	2	5	6	6	4	7	4	3	6	4	7	7	7	7	1	5	35	0	0
263	347	5	5	5	2	6	8	3	8	4	4	4	6	6	1	7	4	7	5	1	1	34	0	0
232	334	7	4	5	6	2	7	3	6	4	3	4	3	7	6	7	8	6	6	1	2	33	0	0
472	295	2	2	2	6	4	8	6	9	8	7	3	7	4	4	7	4	6	6	5	7	33	0	0
465	248	2	4	6	6	3	8	6	2	8	4	3	3	4	6	1	7	6	6	8	5	32	0	0
440	354	2	4	6	2	6	5	6	3	3	4	4	5	1	4	6	8	6	7	5	6	31	0	0
437	370	2	4	8	6	3	3	6	6	3	3	3	7	1	7	6	7	6	5	7	2	30	0	0
302	201	5	2	6	3	5	3	6	6	3	7	4	4	4	4	7	2	5	6	4	7	30	0	0
94	168	4	2	6	8	3	3	6	2	2	7	6	3	6	1	6	5	7	6	5	5	29	0	0
